# #num_label, rad (km), a (AU), e, i (deg), q (AU), Q (AU)
1.576000000000000000e+04 1.680000000000000000e+02 4.370000000000000284e+01 7.000000000000000666e-02 2.000000000000000000e+00 4.079999999999999716e+01 4.660000000000000142e+01
1.578800000000000000e+04 1.170000000000000000e+02 3.910000000000000142e+01 3.200000000000000067e-01 2.000000000000000000e+00 2.669999999999999929e+01 5.150000000000000000e+01
1.578900000000000000e+04 3.980000000000000000e+02 3.939999999999999858e+01 1.900000000000000022e-01 5.000000000000000000e+00 3.200000000000000000e+01 4.670000000000000284e+01
1.580700000000000000e+04 1.470000000000000000e+02 4.400000000000000000e+01 5.999999999999999778e-02 1.000000000000000000e+00 4.129999999999999716e+01 4.670000000000000284e+01
1.580900000000000000e+04 1.220000000000000000e+02 4.250000000000000000e+01 2.200000000000000011e-01 1.400000000000000000e+01 3.310000000000000142e+01 5.189999999999999858e+01
1.581000000000000000e+04 1.280000000000000000e+02 3.960000000000000142e+01 1.199999999999999956e-01 4.000000000000000000e+00 3.479999999999999716e+01 4.450000000000000000e+01
1.582000000000000000e+04 9.100000000000000000e+01 3.920000000000000284e+01 3.099999999999999978e-01 1.200000000000000000e+01 2.700000000000000000e+01 5.150000000000000000e+01
1.583600000000000000e+04 1.280000000000000000e+02 3.650000000000000000e+01 7.000000000000000666e-02 7.000000000000000000e+00 3.379999999999999716e+01 3.920000000000000284e+01
1.587400000000000000e+04 3.390000000000000000e+02 8.259999999999999432e+01 5.799999999999999600e-01 2.400000000000000000e+01 3.500000000000000000e+01 1.300000000000000000e+02
1.587500000000000000e+04 1.540000000000000000e+02 3.920000000000000284e+01 3.300000000000000155e-01 6.000000000000000000e+00 2.630000000000000071e+01 5.200000000000000000e+01
1.588300000000000000e+04 1.680000000000000000e+02 4.710000000000000142e+01 2.099999999999999922e-01 1.900000000000000000e+01 3.720000000000000284e+01 5.700000000000000000e+01
1.668400000000000000e+04 1.850000000000000000e+02 4.439999999999999858e+01 5.999999999999999778e-02 4.000000000000000000e+00 4.200000000000000000e+01 4.689999999999999858e+01
1.925500000000000000e+04 1.760000000000000000e+02 4.260000000000000142e+01 4.000000000000000083e-02 2.000000000000000000e+00 4.110000000000000142e+01 4.410000000000000142e+01
1.929900000000000000e+04 1.170000000000000000e+02 3.929999999999999716e+01 2.500000000000000000e-01 5.000000000000000000e+00 2.939999999999999858e+01 4.929999999999999716e+01
1.930800000000000000e+04 4.090000000000000000e+02 4.320000000000000284e+01 1.199999999999999956e-01 2.800000000000000000e+01 3.789999999999999858e+01 4.850000000000000000e+01
1.952100000000000000e+04 6.000000000000000000e+02 4.550000000000000000e+01 1.000000000000000056e-01 1.200000000000000000e+01 4.100000000000000000e+01 5.010000000000000142e+01
2.000000000000000000e+04 6.780000000000000000e+02 4.289999999999999858e+01 5.000000000000000278e-02 1.700000000000000000e+01 4.070000000000000284e+01 4.510000000000000142e+01
2.010800000000000000e+04 1.280000000000000000e+02 3.929999999999999716e+01 1.499999999999999944e-01 2.000000000000000000e+01 3.360000000000000142e+01 4.500000000000000000e+01
2.016100000000000000e+04 1.400000000000000000e+02 4.770000000000000284e+01 4.000000000000000222e-01 1.200000000000000000e+01 2.860000000000000142e+01 6.670000000000000284e+01
2.483500000000000000e+04 7.010000000000000000e+02 4.160000000000000142e+01 1.000000000000000056e-01 2.700000000000000000e+01 3.739999999999999858e+01 4.579999999999999716e+01
2.495200000000000000e+04 1.340000000000000000e+02 3.920000000000000284e+01 2.200000000000000011e-01 1.700000000000000000e+01 3.050000000000000000e+01 4.789999999999999858e+01
2.497800000000000000e+04 1.400000000000000000e+02 4.360000000000000142e+01 5.000000000000000278e-02 2.000000000000000000e+00 4.139999999999999858e+01 4.589999999999999858e+01
2.618100000000000000e+04 2.620000000000000000e+02 9.509999999999999432e+01 5.999999999999999778e-01 1.300000000000000000e+01 3.829999999999999716e+01 1.520000000000000000e+02
2.630800000000000000e+04 2.680000000000000000e+02 4.739999999999999858e+01 3.699999999999999956e-01 1.400000000000000000e+01 2.980000000000000071e+01 6.500000000000000000e+01
2.637500000000000000e+04 4.610000000000000000e+02 5.579999999999999716e+01 4.199999999999999845e-01 8.000000000000000000e+00 3.239999999999999858e+01 7.909999999999999432e+01
2.897800000000000000e+04 6.170000000000000000e+02 3.970000000000000284e+01 2.399999999999999911e-01 2.000000000000000000e+01 3.010000000000000142e+01 4.929999999999999716e+01
2.998100000000000000e+04 1.040000000000000000e+02 9.500000000000000000e+01 8.699999999999999956e-01 6.000000000000000000e+00 1.230000000000000071e+01 1.780000000000000000e+02
3.292900000000000000e+04 6.600000000000000000e+01 3.939999999999999858e+01 2.600000000000000089e-01 5.000000000000000000e+00 2.919999999999999929e+01 4.970000000000000284e+01
3.300100000000000000e+04 2.800000000000000000e+02 4.350000000000000000e+01 4.000000000000000083e-02 2.000000000000000000e+00 4.170000000000000284e+01 4.520000000000000284e+01
3.312800000000000000e+04 2.130000000000000000e+02 3.329999999999999716e+01 3.800000000000000044e-01 1.400000000000000000e+01 2.060000000000000142e+01 4.600000000000000000e+01
3.334000000000000000e+04 3.980000000000000000e+02 3.910000000000000142e+01 2.500000000000000000e-01 3.000000000000000000e+00 2.939999999999999858e+01 4.889999999999999858e+01
3.567100000000000000e+04 3.930000000000000000e+02 3.779999999999999716e+01 4.000000000000000083e-02 5.000000000000000000e+00 3.620000000000000284e+01 3.929999999999999716e+01
